datetime,open_interest,oi_usd
2026-03-25 10:00:00,2200001.323,4807632210.50545
2026-03-25 11:00:00,2208502.734,4823423642.818248
2026-03-25 12:00:00,2199399.923,4806298099.62437
2026-03-25 13:00:00,2201841.243,4805487362.760901
2026-03-25 14:00:00,2218358.97,4843742443.8156
2026-03-25 15:00:00,2208313.387,4798709156.21874
2026-03-25 16:00:00,2191456.804,4737206429.50268
2026-03-25 17:00:00,2170870.61,4717323544.2361
2026-03-25 18:00:00,2168495.28,4690910674.6488
2026-03-25 19:00:00,2160966.987,4670735655.37167
2026-03-25 20:00:00,2152238.944,4673285553.44384
2026-03-25 21:00:00,2149918.19,4656249817.5382
2026-03-25 22:00:00,2148592.982,4647428105.99582
2026-03-25 23:00:00,2147694.637,4668178334.092243
2026-03-26 00:00:00,2149853.156,4661058846.778184
2026-03-26 01:00:00,2156811.589,4670663473.833983
2026-03-26 02:00:00,2153939.899,4660884603.132319
2026-03-26 03:00:00,2161619.454,4646047122.693779
2026-03-26 04:00:00,2159980.71,4648346200.809681
2026-03-26 05:00:00,2161219.294,4643634492.748523
2026-03-26 06:00:00,2138410.196,4530671066.36716
2026-03-26 07:00:00,2158628.066,4577865694.698631
2026-03-26 08:00:00,2169505.53,4604635613.177
2026-03-26 09:00:00,2181137.736,4621027917.273842
2026-03-26 10:00:00,2149011.109,4473590861.493187
2026-03-26 11:00:00,2164132.354,4495746910.87606
2026-03-26 12:00:00,2174557.402,4495693610.240127
2026-03-26 13:00:00,2186963.29,4531930490.25828
2026-03-26 14:00:00,2184195.086,4543431566.19204
2026-03-26 15:00:00,2194147.57,4553316978.7397
2026-03-26 16:00:00,2201050.01,4555260665.076601
2026-03-26 17:00:00,2201462.914,4535466173.840042
2026-03-26 18:00:00,2194449.03,4493024666.4735
2026-03-26 19:00:00,2192806.904,4486316816.206977
2026-03-26 20:00:00,2185748.994,4477637772.769823
2026-03-26 21:00:00,2179147.782,4497480520.118894
2026-03-26 22:00:00,2180045.886,4506749779.183853
2026-03-26 23:00:00,2179432.404,4500004850.48304
2026-03-27 00:00:00,2174388.355,4477435268.96535
2026-03-27 01:00:00,2175180.34,4489880540.935397
2026-03-27 02:00:00,2180647.015,4520415842.68455
2026-03-27 03:00:00,2182941.363,4512379920.87093
2026-03-27 04:00:00,2183910.833,4499525980.919658
2026-03-27 05:00:00,2210147.544,4535487977.99328
2026-03-27 06:00:00,2212159.382,4557468637.20258
2026-03-27 07:00:00,2213902.815,4563754605.696706
2026-03-27 08:00:00,2222966.641,4590337194.99936
2026-03-27 09:00:00,2214790.64,4532679784.292
2026-03-27 10:00:00,2224387.66,4537283704.9914
